,Adgrl1
1373,10.0
1374,17.0
1375,3.0
1376,8.0
1377,9.0
1378,0.0
1379,0.0
1380,6.0
1381,1.0
1382,2.0
1383,2.0
1384,5.0
1385,4.0
1386,5.0
1387,2.0
1388,1.0
1389,1.0
1390,2.0
1391,10.0
1392,7.0
1393,3.0
1394,4.0
1395,3.0
1396,2.0
1397,6.0
1398,10.0
1399,1.0
1400,0.0
1401,1.0
1402,9.0
1403,0.0
1404,1.0
1405,8.0
1406,1.0
1407,5.0
1408,2.0
1409,3.0
1410,4.0
1411,12.0
1412,0.0
1413,7.0
1414,3.0
1415,0.0
1416,6.0
1417,6.0
1418,0.0
1419,1.0
1420,7.0
1421,11.0
1422,1.0
1423,6.0
1424,14.0
1425,10.0
1426,8.0
1427,8.0
1428,0.0
1429,9.0
1430,2.0
1431,8.0
1432,0.0
1433,11.0
1434,0.0
1435,16.0
1436,1.0
1437,0.0
1438,5.0
1439,0.0
1440,2.0
1441,8.0
1442,13.0
1443,3.0
1444,4.0
1445,2.0
1446,0.0
1447,3.0
1448,3.0
1449,6.0
1450,6.0
1451,3.0
1452,13.0
1453,0.0
1454,9.0
1455,5.0
1456,0.0
1457,4.0
1458,7.0
1459,14.0
1460,6.0
1461,8.0
1462,6.0
1463,2.0
1464,2.0
1465,3.0
1466,8.0
1467,4.0
1468,0.0
1469,18.0
1470,5.0
1471,6.0
1472,3.0
1473,7.0
1474,0.0
1475,2.0
1476,9.0
1477,5.0
1478,3.0
1479,2.0
1480,5.0
1481,1.0
1482,7.0
1483,8.0
1484,2.0
1485,11.0
1486,8.0
1487,10.0
1488,8.0
1489,0.0
1490,7.0
1491,3.0
1492,2.0
1493,8.0
1494,4.0
1495,6.0
1496,4.0
1497,12.0
1498,0.0
1499,7.0
1500,1.0
1501,2.0
1502,3.0
1503,3.0
1504,4.0
1505,2.0
1506,7.0
1507,0.0
1508,13.0
1509,1.0
1510,5.0
1511,7.0
1512,0.0
1513,2.0
1514,0.0
1515,1.0
1516,10.0
1517,0.0
1518,4.0
1519,8.0
1520,0.0
1521,3.0
1522,0.0
1523,8.0
1524,11.0
1525,1.0
1526,12.0
1527,1.0
1528,4.0
1529,4.0
1530,1.0
1531,4.0
1532,3.0
1533,5.0
1534,1.0
