,Epha4
1800,31.0
1801,26.0
1802,0.0
1803,15.0
1804,12.0
1805,27.0
1806,27.0
1807,19.0
1808,26.0
1809,9.0
1810,0.0
1811,10.0
1812,0.0
1813,2.0
1814,20.0
1815,2.0
1816,4.0
1817,4.0
1818,22.0
1819,0.0
1820,22.0
1821,0.0
1822,38.0
1823,2.0
1824,2.0
1825,19.0
1826,5.0
1827,11.0
1828,11.0
1829,29.0
1830,5.0
1831,3.0
1832,1.0
1833,20.0
1834,4.0
1835,19.0
1836,2.0
1837,4.0
1838,2.0
1839,21.0
1840,1.0
1841,9.0
1842,2.0
1843,1.0
1844,21.0
1845,1.0
1846,2.0
1847,4.0
1848,7.0
1849,7.0
1850,15.0
1851,18.0
1852,31.0
1853,0.0
1854,3.0
1855,16.0
1856,4.0
1857,3.0
1858,5.0
1859,15.0
1860,9.0
1861,0.0
1862,10.0
1863,9.0
1864,1.0
1865,37.0
1866,24.0
1867,23.0
1868,17.0
1869,11.0
1870,17.0
1871,23.0
1872,3.0
1873,24.0
1874,3.0
1875,15.0
1876,33.0
1877,13.0
1878,3.0
1879,31.0
1880,28.0
1881,6.0
1882,22.0
1883,24.0
1884,24.0
1885,14.0
1886,14.0
1887,24.0
1888,17.0
1889,0.0
1890,0.0
1891,35.0
1892,26.0
1893,17.0
1894,5.0
1895,21.0
1896,15.0
1897,6.0
1898,11.0
1899,12.0
1900,4.0
1901,4.0
1902,7.0
1903,2.0
1904,9.0
1905,18.0
1906,16.0
1907,20.0
1908,0.0
1909,5.0
1910,10.0
1911,24.0
1912,1.0
1913,13.0
1914,17.0
1915,16.0
1916,2.0
1917,15.0
1918,3.0
1919,13.0
1920,4.0
1921,23.0
1922,16.0
1923,13.0
1924,2.0
1925,23.0
1926,33.0
1927,1.0
1928,3.0
1929,0.0
1930,9.0
1931,1.0
1932,1.0
1933,7.0
1934,2.0
1935,0.0
1936,15.0
1937,18.0
1938,8.0
1939,6.0
1940,4.0
1941,19.0
1942,39.0
1943,0.0
1944,0.0
1945,9.0
1946,4.0
1947,7.0
1948,14.0
1949,3.0
1950,3.0
1951,39.0
1952,1.0
1953,42.0
1954,2.0
1955,2.0
1956,21.0
1957,24.0
1958,27.0
1959,4.0
1960,4.0
1961,7.0
1962,1.0
1963,21.0
1964,10.0
1965,9.0
1966,19.0
1967,1.0
1968,2.0
1969,5.0
1970,1.0
1971,0.0
1972,2.0
1973,5.0
1974,17.0
1975,14.0
1976,11.0
1977,5.0
1978,14.0
1979,26.0
1980,0.0
1981,0.0
1982,3.0
1983,0.0
1984,21.0
1985,12.0
1986,1.0
1987,0.0
1988,9.0
1989,28.0
1990,5.0
1991,19.0
1992,0.0
1993,2.0
1994,7.0
1995,29.0
1996,9.0
1997,8.0
1998,3.0
1999,2.0
2000,25.0
2001,43.0
2002,33.0
2003,16.0
2004,28.0
2005,14.0
2006,21.0
2007,18.0
2008,3.0
2009,1.0
2010,2.0
2011,22.0
2012,6.0
2013,17.0
2014,16.0
2015,1.0
2016,33.0
2017,12.0
2018,20.0
2019,1.0
2020,4.0
2021,25.0
2022,44.0
2023,29.0
2024,4.0
2025,0.0
2026,30.0
2027,13.0
2028,10.0
2029,19.0
2030,11.0
2031,33.0
2032,2.0
2033,2.0
2034,1.0
2035,26.0
2036,15.0
2037,5.0
2038,3.0
2039,0.0
2040,7.0
2041,35.0
2042,14.0
2043,4.0
2044,21.0
2045,16.0
2046,0.0
2047,21.0
2048,6.0
2049,17.0
2050,19.0
2051,2.0
2052,1.0
2053,41.0
2054,6.0
2055,11.0
