,Fzd3
1799,11.0
1800,21.0
1801,13.0
1802,0.0
1803,5.0
1804,12.0
1805,15.0
1806,10.0
1807,17.0
1808,15.0
1809,3.0
1810,2.0
1811,4.0
1812,0.0
1813,1.0
1814,11.0
1815,0.0
1816,0.0
1817,1.0
1818,10.0
1819,0.0
1820,9.0
1821,0.0
1822,18.0
1823,2.0
1824,3.0
1825,16.0
1826,0.0
1827,5.0
1828,15.0
1829,11.0
1830,2.0
1831,2.0
1832,0.0
1833,4.0
1834,1.0
1835,23.0
1836,1.0
1837,2.0
1838,1.0
1839,26.0
1840,0.0
1841,1.0
1842,1.0
1843,1.0
1844,22.0
1845,0.0
1846,0.0
1847,6.0
1848,1.0
1849,4.0
1850,12.0
1851,19.0
1852,29.0
1853,3.0
1854,0.0
1855,7.0
1856,4.0
1857,3.0
1858,2.0
1859,14.0
1860,3.0
1861,0.0
1862,9.0
1863,7.0
1864,1.0
1865,20.0
1866,27.0
1867,16.0
1868,16.0
1869,7.0
1870,5.0
1871,17.0
1872,1.0
1873,26.0
1874,3.0
1875,16.0
1876,7.0
1877,7.0
1878,1.0
1879,29.0
1880,18.0
1881,8.0
1882,8.0
1883,19.0
1884,3.0
1885,4.0
1886,7.0
1887,11.0
1888,21.0
1889,3.0
1890,0.0
1891,11.0
1892,29.0
1893,19.0
1894,5.0
1895,20.0
1896,11.0
1897,2.0
1898,1.0
1899,10.0
1900,8.0
1901,3.0
1902,13.0
1903,0.0
1904,14.0
1905,9.0
1906,11.0
1907,14.0
1908,1.0
1909,3.0
1910,10.0
1911,11.0
1912,0.0
1913,24.0
1914,9.0
1915,19.0
1916,9.0
1917,10.0
1918,0.0
1919,9.0
1920,3.0
1921,16.0
1922,9.0
1923,14.0
1924,1.0
1925,8.0
1926,4.0
1927,6.0
1928,6.0
1929,2.0
1930,2.0
1931,0.0
1932,1.0
1933,12.0
1934,0.0
1935,1.0
1936,7.0
1937,13.0
1938,2.0
1939,5.0
1940,5.0
1941,12.0
1942,22.0
1943,0.0
1944,0.0
1945,6.0
1946,4.0
1947,9.0
1948,7.0
1949,1.0
1950,3.0
1951,13.0
1952,2.0
1953,10.0
1954,5.0
1955,0.0
1956,8.0
1957,6.0
1958,18.0
1959,7.0
1960,1.0
1961,2.0
1962,0.0
1963,14.0
1964,7.0
1965,11.0
1966,10.0
1967,0.0
1968,1.0
1969,1.0
1970,2.0
1971,0.0
1972,0.0
1973,0.0
1974,14.0
1975,11.0
1976,6.0
1977,3.0
1978,22.0
1979,15.0
1980,0.0
1981,1.0
1982,7.0
1983,0.0
1984,5.0
1985,4.0
1986,2.0
1987,0.0
1988,13.0
1989,9.0
1990,4.0
1991,6.0
1992,0.0
1993,0.0
1994,3.0
1995,12.0
1996,4.0
1997,0.0
1998,0.0
1999,0.0
2000,15.0
2001,22.0
2002,8.0
2003,10.0
2004,14.0
2005,13.0
2006,9.0
2007,17.0
2008,1.0
2009,0.0
2010,7.0
2011,19.0
2012,4.0
2013,4.0
2014,4.0
2015,2.0
2016,14.0
2017,14.0
2018,26.0
2019,0.0
2020,2.0
2021,15.0
2022,18.0
2023,9.0
2024,2.0
2025,0.0
2026,10.0
2027,4.0
2028,6.0
2029,12.0
2030,12.0
2031,26.0
2032,2.0
2033,0.0
2034,5.0
2035,10.0
2036,11.0
2037,2.0
2038,2.0
2039,0.0
2040,2.0
2041,26.0
2042,10.0
2043,6.0
2044,10.0
2045,11.0
2046,0.0
2047,9.0
2048,2.0
2049,5.0
2050,11.0
2051,1.0
2052,1.0
2053,19.0
2054,12.0
2055,6.0
2056,18.0
2057,0.0
2058,5.0
2059,7.0
2060,12.0
2061,10.0
2062,19.0
2063,17.0
2064,8.0
2065,17.0
2066,7.0
2067,7.0
2068,11.0
2069,3.0
2070,3.0
2071,27.0
2072,6.0
2073,22.0
2074,7.0
2075,7.0
2076,0.0
2077,8.0
2078,1.0
2079,1.0
2080,13.0
2081,22.0
2082,2.0
2083,23.0
2084,17.0
2085,20.0
2086,14.0
2087,20.0
2088,11.0
2089,5.0
2090,3.0
2091,0.0
2092,16.0
2093,3.0
2094,11.0
2095,21.0
2096,1.0
2097,11.0
2098,4.0
2099,17.0
2100,6.0
2101,9.0
2102,1.0
2103,0.0
2104,5.0
2105,13.0
2106,4.0
2107,0.0
2108,1.0
2109,4.0
2110,5.0
2111,11.0
2112,3.0
2113,1.0
2114,0.0
2115,3.0
2116,6.0
2117,19.0
2118,13.0
2119,7.0
2120,17.0
2121,13.0
2122,3.0
2123,1.0
2124,41.0
2125,4.0
2126,4.0
2127,0.0
2128,7.0
2129,2.0
2130,0.0
2131,23.0
2132,24.0
2133,2.0
2134,2.0
2135,6.0
2136,2.0
