,Slc17a7
1679,43.0
1680,89.0
1681,66.0
1682,5.0
1683,0.0
1684,6.0
1685,58.0
1686,26.0
1687,74.0
1688,10.0
1689,103.0
1690,38.0
1691,29.0
1692,4.0
1693,4.0
1694,19.0
1695,20.0
1696,91.0
1697,75.0
1698,3.0
1699,49.0
1700,28.0
1701,0.0
1702,111.0
1703,20.0
1704,32.0
1705,1.0
1706,64.0
1707,41.0
1708,46.0
1709,0.0
1710,13.0
1711,13.0
1712,11.0
1713,1.0
1714,6.0
1715,23.0
1716,53.0
1717,12.0
1718,17.0
1719,30.0
1720,20.0
1721,48.0
1722,75.0
1723,14.0
1724,57.0
1725,71.0
1726,54.0
1727,46.0
1728,57.0
1729,22.0
1730,85.0
1731,3.0
1732,46.0
1733,35.0
1734,81.0
1735,0.0
1736,92.0
1737,22.0
1738,43.0
1739,69.0
1740,15.0
1741,25.0
1742,19.0
1743,92.0
1744,97.0
1745,61.0
1746,4.0
1747,0.0
1748,3.0
1749,88.0
1750,15.0
1751,12.0
1752,68.0
1753,108.0
1754,0.0
1755,37.0
1756,21.0
1757,1.0
1758,90.0
1759,21.0
1760,3.0
1761,25.0
1762,68.0
1763,78.0
1764,3.0
1765,57.0
1766,29.0
1767,2.0
1768,47.0
1769,55.0
1770,14.0
1771,13.0
1772,82.0
1773,9.0
1774,18.0
1775,57.0
1776,26.0
1777,34.0
1778,34.0
1779,31.0
1780,2.0
1781,72.0
1782,3.0
1783,96.0
1784,62.0
1785,76.0
1786,73.0
1787,74.0
1788,15.0
1789,66.0
1790,116.0
1791,25.0
1792,38.0
1793,44.0
1794,22.0
1795,4.0
1796,28.0
1797,0.0
1798,6.0
1799,64.0
1800,92.0
1801,69.0
1802,0.0
1803,41.0
1804,22.0
1805,85.0
1806,53.0
1807,66.0
1808,93.0
1809,29.0
1810,5.0
1811,14.0
1812,1.0
1813,10.0
1814,58.0
1815,13.0
1816,4.0
1817,8.0
1818,42.0
1819,0.0
1820,46.0
1821,0.0
1822,111.0
1823,1.0
1824,4.0
1825,47.0
1826,4.0
1827,18.0
1828,41.0
1829,53.0
1830,4.0
1831,22.0
1832,0.0
1833,62.0
1834,4.0
1835,82.0
1836,3.0
1837,15.0
1838,2.0
1839,85.0
1840,2.0
1841,1.0
1842,2.0
1843,6.0
1844,66.0
1845,3.0
1846,1.0
1847,19.0
1848,2.0
1849,15.0
