,Chrm3
1697,8.0
1698,2.0
1699,1.0
1700,4.0
1701,7.0
1702,20.0
1703,1.0
1704,4.0
1705,0.0
1706,4.0
1707,0.0
1708,3.0
1709,0.0
1710,2.0
1711,2.0
1712,2.0
1713,1.0
1714,0.0
1715,0.0
1716,2.0
1717,1.0
1718,3.0
1719,1.0
1720,5.0
1721,15.0
1722,4.0
1723,2.0
1724,7.0
1725,5.0
1726,3.0
1727,4.0
1728,4.0
1729,3.0
1730,10.0
1731,1.0
1732,10.0
1733,9.0
1734,0.0
1735,0.0
1736,5.0
1737,1.0
1738,5.0
1739,3.0
1740,4.0
1741,0.0
1742,3.0
1743,4.0
1744,13.0
1745,0.0
1746,1.0
1747,0.0
1748,0.0
1749,1.0
1750,2.0
1751,1.0
1752,6.0
1753,13.0
1754,0.0
1755,6.0
1756,3.0
1757,7.0
1758,7.0
1759,2.0
1760,0.0
1761,9.0
1762,3.0
1763,7.0
1764,0.0
1765,12.0
1766,2.0
1767,1.0
1768,10.0
1769,1.0
1770,4.0
1771,1.0
1772,12.0
1773,0.0
1774,1.0
1775,3.0
1776,2.0
1777,1.0
1778,1.0
1779,2.0
1780,0.0
1781,7.0
1782,0.0
1783,11.0
1784,4.0
1785,15.0
1786,2.0
1787,0.0
1788,1.0
1789,2.0
1790,12.0
1791,1.0
1792,3.0
1793,5.0
1794,4.0
1795,0.0
1796,4.0
1797,0.0
1798,0.0
1799,3.0
1800,10.0
1801,6.0
1802,1.0
1803,0.0
1804,4.0
1805,3.0
1806,3.0
1807,8.0
1808,9.0
1809,1.0
1810,1.0
1811,0.0
1812,1.0
1813,0.0
1814,5.0
1815,3.0
1816,0.0
1817,0.0
1818,4.0
1819,0.0
1820,1.0
1821,0.0
1822,10.0
1823,7.0
1824,4.0
1825,10.0
1826,0.0
1827,0.0
1828,5.0
1829,2.0
1830,4.0
1831,3.0
1832,0.0
1833,4.0
1834,0.0
1835,7.0
1836,0.0
1837,1.0
1838,0.0
1839,9.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,18.0
1845,0.0
1846,3.0
1847,2.0
1848,0.0
1849,0.0
1850,1.0
1851,8.0
1852,10.0
1853,1.0
1854,0.0
1855,8.0
1856,2.0
1857,0.0
1858,0.0
1859,9.0
1860,19.0
1861,0.0
1862,2.0
1863,1.0
1864,0.0
1865,4.0
1866,26.0
1867,1.0
1868,4.0
1869,1.0
1870,0.0
1871,6.0
1872,2.0
1873,10.0
1874,0.0
1875,13.0
1876,1.0
1877,1.0
1878,0.0
1879,13.0
1880,14.0
1881,7.0
1882,4.0
1883,10.0
1884,3.0
1885,3.0
1886,0.0
1887,3.0
1888,9.0
1889,4.0
1890,0.0
1891,3.0
1892,18.0
1893,10.0
1894,12.0
1895,7.0
1896,5.0
1897,0.0
1898,2.0
1899,9.0
1900,4.0
1901,3.0
1902,11.0
1903,0.0
1904,4.0
1905,1.0
1906,2.0
1907,7.0
1908,0.0
1909,0.0
1910,2.0
1911,0.0
1912,0.0
1913,13.0
1914,13.0
1915,12.0
1916,0.0
1917,2.0
1918,0.0
1919,1.0
1920,0.0
1921,5.0
1922,0.0
1923,5.0
1924,1.0
1925,1.0
1926,2.0
1927,1.0
1928,0.0
1929,0.0
1930,0.0
1931,1.0
1932,0.0
1933,1.0
1934,0.0
1935,0.0
1936,7.0
1937,6.0
1938,0.0
1939,2.0
1940,0.0
1941,10.0
1942,10.0
1943,0.0
1944,0.0
1945,1.0
1946,1.0
1947,9.0
1948,1.0
1949,0.0
1950,2.0
1951,0.0
1952,0.0
1953,3.0
1954,5.0
1955,1.0
1956,3.0
1957,5.0
1958,8.0
1959,1.0
1960,0.0
1961,0.0
1962,0.0
1963,4.0
1964,5.0
1965,5.0
1966,12.0
1967,0.0
1968,1.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,1.0
1974,4.0
1975,10.0
1976,9.0
1977,0.0
1978,12.0
1979,1.0
1980,0.0
1981,0.0
1982,1.0
1983,0.0
1984,2.0
1985,2.0
1986,0.0
1987,0.0
1988,2.0
1989,9.0
1990,1.0
1991,1.0
1992,0.0
1993,0.0
1994,1.0
1995,4.0
1996,5.0
1997,0.0
1998,1.0
1999,0.0
2000,14.0
2001,25.0
2002,0.0
2003,3.0
2004,5.0
2005,6.0
2006,1.0
2007,12.0
2008,0.0
2009,0.0
2010,4.0
2011,14.0
2012,0.0
2013,1.0
2014,5.0
2015,0.0
2016,3.0
2017,8.0
2018,8.0
2019,0.0
2020,6.0
2021,9.0
2022,10.0
2023,2.0
2024,0.0
2025,6.0
2026,1.0
2027,0.0
2028,3.0
2029,19.0
2030,5.0
2031,15.0
2032,1.0
2033,3.0
2034,1.0
2035,17.0
2036,9.0
2037,3.0
2038,1.0
2039,0.0
2040,2.0
2041,18.0
2042,8.0
2043,1.0
2044,6.0
2045,7.0
2046,1.0
2047,12.0
2048,4.0
2049,1.0
2050,8.0
2051,1.0
2052,2.0
2053,3.0
2054,7.0
2055,2.0
2056,22.0
2057,0.0
2058,5.0
2059,5.0
2060,14.0
2061,3.0
2062,7.0
2063,15.0
2064,17.0
2065,7.0
2066,7.0
2067,9.0
2068,2.0
2069,9.0
2070,2.0
2071,15.0
2072,1.0
2073,3.0
2074,10.0
2075,2.0
2076,1.0
2077,6.0
2078,0.0
2079,1.0
2080,7.0
2081,24.0
2082,1.0
2083,19.0
2084,12.0
2085,16.0
2086,5.0
2087,25.0
2088,19.0
2089,10.0
2090,1.0
2091,0.0
2092,7.0
2093,7.0
2094,7.0
2095,12.0
2096,0.0
2097,7.0
2098,2.0
2099,9.0
2100,4.0
2101,8.0
2102,2.0
2103,0.0
2104,2.0
2105,18.0
2106,6.0
2107,0.0
2108,1.0
2109,1.0
2110,0.0
2111,8.0
2112,1.0
2113,1.0
2114,0.0
2115,1.0
2116,4.0
2117,21.0
2118,13.0
2119,2.0
2120,17.0
2121,14.0
2122,1.0
2123,0.0
2124,13.0
2125,9.0
2126,0.0
2127,0.0
2128,7.0
2129,5.0
2130,0.0
2131,14.0
2132,17.0
2133,1.0
2134,1.0
2135,5.0
2136,1.0
