,Grm5
1513,13.0
1514,1.0
1515,2.0
1516,17.0
1517,0.0
1518,2.0
1519,14.0
1520,0.0
1521,1.0
1522,5.0
1523,8.0
1524,15.0
1525,6.0
1526,8.0
1527,0.0
1528,15.0
1529,6.0
1530,0.0
1531,9.0
1532,11.0
1533,4.0
1534,2.0
1535,6.0
1536,0.0
1537,0.0
1538,0.0
1539,9.0
1540,8.0
1541,0.0
1542,1.0
1543,7.0
1544,7.0
1545,7.0
1546,3.0
1547,14.0
1548,7.0
1549,10.0
1550,9.0
1551,1.0
1552,10.0
1553,2.0
1554,15.0
1555,1.0
1556,9.0
1557,2.0
1558,3.0
1559,4.0
1560,4.0
1561,11.0
1562,7.0
1563,8.0
1564,12.0
1565,23.0
1566,14.0
1567,13.0
1568,2.0
1569,1.0
1570,15.0
1571,0.0
1572,5.0
1573,14.0
1574,7.0
1575,7.0
1576,12.0
1577,15.0
1578,14.0
1579,3.0
1580,3.0
1581,2.0
1582,4.0
1583,15.0
1584,19.0
1585,1.0
1586,0.0
1587,0.0
1588,10.0
1589,8.0
1590,11.0
1591,1.0
1592,1.0
1593,9.0
1594,13.0
1595,21.0
1596,6.0
1597,5.0
1598,23.0
1599,11.0
1600,18.0
1601,1.0
1602,14.0
1603,5.0
1604,3.0
1605,0.0
1606,10.0
1607,2.0
1608,8.0
1609,13.0
1610,12.0
1611,13.0
1612,11.0
1613,0.0
1614,8.0
1615,12.0
1616,4.0
1617,1.0
1618,17.0
1619,0.0
1620,3.0
1621,4.0
1622,10.0
1623,1.0
1624,3.0
1625,8.0
1626,0.0
1627,22.0
1628,0.0
1629,1.0
1630,10.0
1631,8.0
1632,15.0
1633,0.0
1634,8.0
1635,8.0
1636,1.0
1637,11.0
1638,10.0
1639,12.0
1640,15.0
1641,32.0
1642,18.0
1643,12.0
1644,13.0
1645,8.0
1646,5.0
1647,12.0
1648,0.0
1649,0.0
1650,18.0
1651,11.0
1652,20.0
1653,3.0
1654,6.0
1655,7.0
1656,2.0
1657,10.0
1658,10.0
1659,19.0
1660,9.0
1661,4.0
1662,19.0
1663,0.0
1664,10.0
1665,9.0
1666,12.0
1667,1.0
1668,1.0
1669,17.0
1670,17.0
1671,21.0
1672,8.0
1673,9.0
1674,0.0
1675,0.0
1676,8.0
1677,10.0
1678,3.0
1679,4.0
1680,10.0
1681,14.0
1682,0.0
1683,0.0
1684,0.0
1685,16.0
1686,6.0
1687,17.0
1688,4.0
1689,8.0
1690,7.0
1691,3.0
1692,1.0
1693,0.0
1694,2.0
1695,0.0
1696,17.0
1697,8.0
1698,10.0
1699,12.0
1700,3.0
1701,6.0
1702,19.0
1703,0.0
1704,10.0
1705,0.0
1706,4.0
1707,3.0
1708,10.0
1709,0.0
1710,5.0
