,Lmtk2
1919,14.0
1920,8.0
1921,23.0
1922,24.0
1923,12.0
1924,3.0
1925,22.0
1926,16.0
1927,4.0
1928,6.0
1929,3.0
1930,7.0
1931,3.0
1932,0.0
1933,3.0
1934,0.0
1935,0.0
1936,10.0
1937,24.0
1938,8.0
1939,13.0
1940,8.0
1941,10.0
1942,19.0
1943,2.0
1944,0.0
1945,5.0
1946,4.0
1947,14.0
1948,10.0
1949,1.0
1950,5.0
1951,24.0
1952,2.0
1953,35.0
1954,4.0
1955,5.0
1956,12.0
1957,23.0
1958,36.0
1959,6.0
1960,4.0
1961,13.0
1962,0.0
1963,14.0
1964,15.0
1965,18.0
1966,18.0
1967,0.0
1968,0.0
1969,3.0
1970,0.0
1971,0.0
1972,0.0
1973,3.0
1974,12.0
1975,16.0
1976,14.0
1977,5.0
1978,15.0
1979,29.0
1980,1.0
1981,0.0
1982,2.0
1983,1.0
1984,9.0
1985,2.0
1986,1.0
1987,1.0
1988,8.0
1989,22.0
1990,1.0
1991,9.0
1992,0.0
1993,2.0
1994,2.0
1995,22.0
1996,7.0
1997,3.0
1998,1.0
1999,1.0
2000,19.0
2001,26.0
2002,18.0
2003,15.0
2004,19.0
2005,12.0
2006,26.0
2007,28.0
2008,0.0
2009,1.0
2010,8.0
2011,20.0
2012,10.0
2013,10.0
2014,22.0
2015,1.0
2016,30.0
2017,9.0
2018,38.0
2019,0.0
2020,6.0
2021,20.0
2022,30.0
2023,22.0
2024,2.0
2025,7.0
2026,31.0
2027,5.0
2028,10.0
2029,19.0
2030,9.0
2031,19.0
2032,0.0
2033,2.0
2034,19.0
2035,19.0
2036,20.0
2037,3.0
2038,1.0
2039,0.0
2040,11.0
2041,31.0
2042,20.0
2043,16.0
2044,6.0
2045,9.0
2046,2.0
2047,21.0
2048,6.0
2049,3.0
2050,17.0
2051,0.0
2052,4.0
2053,36.0
2054,19.0
2055,5.0
2056,33.0
2057,0.0
2058,10.0
2059,10.0
2060,19.0
2061,9.0
2062,17.0
2063,16.0
2064,8.0
2065,24.0
2066,20.0
2067,10.0
2068,23.0
2069,5.0
2070,4.0
2071,27.0
2072,5.0
2073,7.0
2074,9.0
2075,18.0
2076,0.0
2077,17.0
2078,0.0
2079,6.0
2080,10.0
2081,26.0
2082,0.0
2083,19.0
2084,17.0
2085,29.0
2086,19.0
2087,22.0
2088,9.0
2089,5.0
2090,10.0
2091,1.0
2092,19.0
2093,7.0
2094,25.0
2095,18.0
2096,15.0
2097,14.0
2098,7.0
2099,9.0
2100,9.0
2101,27.0
2102,3.0
2103,1.0
2104,7.0
2105,30.0
2106,13.0
2107,1.0
2108,1.0
2109,3.0
2110,3.0
2111,8.0
2112,9.0
2113,1.0
2114,1.0
2115,4.0
2116,9.0
2117,20.0
2118,20.0
2119,4.0
2120,29.0
2121,23.0
2122,8.0
2123,0.0
2124,32.0
2125,10.0
2126,3.0
2127,0.0
2128,7.0
2129,6.0
2130,1.0
2131,21.0
2132,19.0
2133,3.0
2134,23.0
2135,22.0
2136,12.0
