,Cspg5
1261,11.0
1262,16.0
1263,7.0
1264,4.0
1265,20.0
1266,3.0
1267,32.0
1268,6.0
1269,14.0
1270,16.0
1271,13.0
1272,16.0
1273,13.0
1274,12.0
1275,1.0
1276,7.0
1277,13.0
1278,8.0
1279,13.0
1280,10.0
1281,9.0
1282,5.0
1283,4.0
1284,15.0
1285,10.0
1286,11.0
1287,2.0
1288,11.0
1289,4.0
1290,2.0
1291,5.0
1292,1.0
1293,18.0
1294,6.0
1295,1.0
1296,12.0
1297,16.0
1298,9.0
1299,5.0
1300,11.0
1301,11.0
1302,12.0
1303,19.0
1304,5.0
1305,1.0
1306,3.0
1307,1.0
1308,16.0
1309,18.0
1310,14.0
1311,22.0
1312,2.0
1313,12.0
1314,11.0
1315,4.0
1316,5.0
1317,0.0
1318,4.0
1319,9.0
1320,32.0
1321,23.0
1322,4.0
1323,27.0
1324,9.0
1325,8.0
1326,16.0
1327,9.0
1328,29.0
1329,24.0
1330,30.0
1331,14.0
1332,21.0
1333,11.0
1334,4.0
1335,21.0
1336,7.0
1337,19.0
1338,3.0
1339,12.0
1340,11.0
1341,5.0
1342,14.0
1343,3.0
1344,16.0
1345,15.0
1346,24.0
1347,16.0
1348,2.0
1349,6.0
1350,11.0
1351,10.0
1352,15.0
1353,8.0
1354,23.0
1355,5.0
1356,5.0
1357,3.0
1358,12.0
1359,3.0
1360,19.0
1361,38.0
1362,14.0
1363,4.0
1364,2.0
1365,9.0
1366,3.0
1367,25.0
1368,10.0
1369,14.0
1370,12.0
1371,23.0
1372,9.0
1373,19.0
1374,25.0
1375,18.0
1376,18.0
1377,14.0
1378,5.0
1379,16.0
1380,22.0
1381,1.0
1382,7.0
1383,15.0
1384,13.0
1385,11.0
1386,13.0
1387,4.0
1388,5.0
1389,0.0
1390,7.0
1391,7.0
1392,13.0
1393,6.0
1394,12.0
1395,5.0
1396,49.0
1397,12.0
1398,8.0
1399,4.0
1400,1.0
1401,1.0
1402,21.0
1403,5.0
1404,0.0
1405,18.0
1406,0.0
1407,16.0
1408,6.0
1409,40.0
1410,16.0
1411,16.0
1412,1.0
1413,8.0
1414,11.0
1415,4.0
1416,17.0
1417,36.0
1418,3.0
1419,4.0
1420,22.0
1421,22.0
1422,4.0
1423,35.0
1424,8.0
1425,29.0
1426,17.0
1427,13.0
1428,1.0
1429,23.0
1430,2.0
1431,12.0
1432,2.0
1433,12.0
1434,2.0
1435,21.0
1436,8.0
1437,2.0
1438,5.0
1439,3.0
1440,12.0
1441,23.0
1442,8.0
1443,6.0
1444,10.0
1445,19.0
1446,6.0
1447,2.0
1448,1.0
1449,14.0
1450,50.0
1451,20.0
1452,19.0
1453,0.0
1454,18.0
1455,4.0
1456,10.0
1457,7.0
1458,11.0
1459,18.0
1460,24.0
1461,20.0
1462,10.0
1463,9.0
1464,3.0
1465,15.0
1466,35.0
1467,19.0
1468,7.0
1469,24.0
1470,8.0
1471,15.0
1472,16.0
1473,25.0
1474,3.0
1475,2.0
1476,30.0
1477,23.0
1478,8.0
1479,6.0
1480,19.0
1481,1.0
1482,17.0
1483,21.0
1484,15.0
1485,27.0
1486,20.0
1487,22.0
1488,12.0
1489,0.0
1490,9.0
1491,17.0
1492,1.0
1493,14.0
1494,17.0
1495,18.0
1496,11.0
1497,28.0
1498,1.0
1499,24.0
1500,2.0
1501,0.0
1502,7.0
1503,0.0
1504,9.0
1505,2.0
1506,22.0
1507,3.0
1508,16.0
1509,1.0
1510,18.0
1511,13.0
1512,0.0
1513,8.0
1514,1.0
1515,9.0
1516,23.0
1517,8.0
1518,7.0
1519,12.0
1520,0.0
1521,2.0
1522,3.0
1523,19.0
1524,26.0
1525,4.0
1526,30.0
1527,6.0
1528,8.0
1529,7.0
1530,2.0
1531,10.0
1532,19.0
1533,3.0
1534,0.0
1535,10.0
1536,0.0
1537,1.0
1538,1.0
1539,25.0
1540,17.0
1541,0.0
1542,0.0
1543,10.0
1544,9.0
1545,17.0
1546,7.0
1547,24.0
1548,20.0
1549,11.0
1550,11.0
1551,1.0
1552,21.0
1553,0.0
1554,19.0
1555,0.0
1556,14.0
1557,2.0
1558,1.0
1559,5.0
1560,10.0
1561,9.0
1562,10.0
1563,6.0
1564,15.0
1565,32.0
1566,25.0
1567,16.0
1568,8.0
1569,5.0
1570,14.0
1571,5.0
1572,7.0
1573,23.0
1574,11.0
1575,6.0
1576,15.0
1577,20.0
1578,11.0
1579,3.0
1580,1.0
1581,4.0
1582,15.0
1583,26.0
1584,14.0
1585,2.0
1586,1.0
1587,0.0
1588,8.0
1589,11.0
1590,9.0
1591,1.0
1592,4.0
1593,18.0
1594,23.0
1595,18.0
1596,17.0
1597,3.0
1598,15.0
1599,21.0
1600,20.0
1601,31.0
1602,12.0
1603,22.0
1604,3.0
1605,12.0
1606,20.0
1607,6.0
1608,16.0
1609,19.0
1610,19.0
1611,6.0
1612,14.0
1613,4.0
1614,10.0
1615,13.0
1616,4.0
1617,19.0
1618,12.0
1619,1.0
1620,2.0
1621,3.0
1622,9.0
1623,7.0
1624,10.0
1625,2.0
1626,1.0
1627,11.0
1628,2.0
1629,1.0
1630,14.0
1631,2.0
1632,15.0
1633,0.0
1634,17.0
1635,13.0
1636,8.0
1637,28.0
1638,12.0
1639,30.0
1640,21.0
1641,21.0
1642,17.0
1643,35.0
1644,22.0
1645,16.0
1646,4.0
1647,15.0
1648,0.0
1649,24.0
1650,14.0
1651,8.0
1652,24.0
1653,11.0
1654,10.0
1655,9.0
1656,6.0
1657,10.0
1658,17.0
1659,14.0
1660,17.0
1661,5.0
1662,28.0
1663,6.0
1664,22.0
1665,21.0
1666,14.0
1667,4.0
1668,4.0
1669,23.0
1670,28.0
1671,15.0
1672,6.0
1673,11.0
1674,1.0
1675,0.0
1676,19.0
1677,11.0
1678,3.0
1679,18.0
1680,13.0
1681,18.0
1682,1.0
1683,0.0
1684,16.0
1685,13.0
1686,3.0
1687,19.0
1688,5.0
1689,17.0
1690,11.0
1691,11.0
1692,5.0
1693,28.0
1694,5.0
1695,32.0
1696,9.0
1697,25.0
1698,15.0
1699,14.0
1700,14.0
1701,4.0
1702,17.0
1703,10.0
1704,8.0
1705,0.0
1706,19.0
1707,12.0
1708,16.0
1709,0.0
1710,11.0
1711,3.0
1712,5.0
1713,0.0
1714,8.0
1715,8.0
1716,20.0
1717,5.0
1718,5.0
1719,11.0
1720,6.0
1721,4.0
1722,14.0
1723,6.0
1724,14.0
1725,11.0
1726,16.0
1727,17.0
1728,12.0
1729,9.0
1730,14.0
1731,2.0
1732,10.0
1733,2.0
1734,28.0
1735,0.0
1736,31.0
1737,8.0
1738,18.0
1739,15.0
1740,29.0
1741,20.0
1742,5.0
1743,31.0
1744,28.0
1745,19.0
1746,4.0
1747,0.0
1748,0.0
1749,30.0
1750,5.0
1751,2.0
1752,16.0
1753,16.0
1754,13.0
1755,13.0
1756,7.0
1757,8.0
1758,15.0
1759,10.0
1760,3.0
1761,4.0
1762,11.0
1763,24.0
1764,1.0
1765,11.0
1766,7.0
1767,2.0
1768,18.0
1769,20.0
1770,8.0
1771,5.0
1772,19.0
1773,2.0
1774,12.0
1775,14.0
1776,10.0
1777,14.0
1778,1.0
1779,9.0
1780,0.0
1781,20.0
1782,1.0
1783,14.0
1784,26.0
1785,20.0
1786,34.0
1787,25.0
1788,1.0
1789,15.0
1790,23.0
1791,8.0
1792,18.0
1793,13.0
1794,7.0
1795,2.0
1796,6.0
1797,9.0
1798,0.0
1799,14.0
1800,15.0
1801,11.0
1802,1.0
1803,12.0
1804,7.0
1805,29.0
1806,19.0
1807,21.0
1808,8.0
1809,9.0
1810,4.0
1811,1.0
1812,7.0
1813,14.0
1814,29.0
1815,6.0
1816,4.0
1817,10.0
1818,14.0
1819,1.0
1820,18.0
1821,1.0
1822,16.0
1823,4.0
1824,16.0
1825,15.0
1826,6.0
1827,6.0
1828,29.0
1829,14.0
1830,4.0
1831,2.0
1832,30.0
1833,20.0
1834,4.0
1835,13.0
1836,1.0
1837,10.0
1838,2.0
1839,21.0
1840,22.0
1841,14.0
1842,13.0
1843,2.0
1844,10.0
1845,2.0
1846,7.0
1847,3.0
1848,13.0
1849,14.0
1850,27.0
1851,17.0
1852,17.0
1853,5.0
1854,0.0
1855,9.0
1856,5.0
1857,0.0
1858,7.0
1859,13.0
1860,16.0
1861,5.0
1862,10.0
1863,8.0
1864,5.0
1865,18.0
1866,22.0
1867,18.0
1868,14.0
1869,8.0
1870,8.0
1871,14.0
1872,0.0
1873,19.0
1874,3.0
1875,13.0
1876,19.0
1877,7.0
1878,6.0
1879,27.0
1880,17.0
1881,4.0
1882,16.0
1883,14.0
1884,16.0
1885,13.0
1886,21.0
1887,19.0
1888,15.0
1889,14.0
1890,6.0
1891,20.0
1892,29.0
1893,9.0
1894,20.0
1895,13.0
1896,10.0
1897,1.0
1898,14.0
1899,5.0
1900,10.0
1901,3.0
1902,5.0
1903,23.0
1904,9.0
1905,9.0
1906,11.0
1907,17.0
1908,0.0
1909,13.0
1910,9.0
1911,21.0
1912,1.0
1913,22.0
1914,10.0
1915,9.0
1916,18.0
1917,14.0
1918,0.0
1919,7.0
1920,2.0
1921,16.0
1922,17.0
1923,11.0
1924,5.0
1925,19.0
1926,16.0
1927,9.0
1928,5.0
1929,1.0
1930,2.0
1931,2.0
1932,2.0
1933,7.0
1934,2.0
1935,6.0
1936,19.0
1937,15.0
1938,5.0
1939,5.0
1940,10.0
1941,18.0
1942,20.0
1943,0.0
1944,0.0
1945,5.0
1946,6.0
1947,10.0
1948,7.0
1949,9.0
1950,5.0
1951,13.0
1952,3.0
1953,37.0
1954,2.0
1955,1.0
1956,14.0
1957,23.0
1958,18.0
1959,5.0
1960,0.0
1961,7.0
1962,0.0
1963,17.0
1964,11.0
1965,12.0
1966,9.0
1967,2.0
1968,2.0
1969,2.0
1970,2.0
1971,2.0
1972,3.0
1973,6.0
1974,10.0
1975,13.0
1976,5.0
1977,7.0
1978,12.0
1979,17.0
1980,19.0
1981,30.0
1982,4.0
1983,0.0
1984,10.0
1985,5.0
1986,19.0
1987,9.0
1988,8.0
1989,16.0
1990,4.0
1991,7.0
1992,0.0
1993,0.0
1994,3.0
1995,20.0
1996,2.0
1997,0.0
1998,28.0
1999,1.0
2000,16.0
2001,27.0
2002,23.0
2003,11.0
2004,15.0
2005,14.0
2006,19.0
2007,19.0
2008,1.0
2009,1.0
2010,5.0
2011,6.0
2012,3.0
2013,8.0
2014,7.0
2015,1.0
2016,14.0
2017,18.0
2018,12.0
2019,1.0
2020,15.0
2021,20.0
2022,21.0
2023,16.0
2024,11.0
2025,7.0
2026,18.0
2027,14.0
2028,1.0
2029,11.0
2030,11.0
2031,22.0
2032,0.0
2033,1.0
2034,23.0
2035,17.0
2036,17.0
2037,2.0
2038,1.0
2039,0.0
2040,9.0
2041,24.0
2042,12.0
2043,27.0
2044,15.0
2045,14.0
2046,1.0
2047,15.0
2048,6.0
2049,4.0
2050,19.0
2051,1.0
2052,1.0
2053,34.0
2054,6.0
2055,8.0
2056,16.0
2057,0.0
2058,14.0
2059,16.0
2060,15.0
2061,11.0
2062,21.0
2063,23.0
2064,19.0
2065,19.0
2066,24.0
2067,4.0
2068,23.0
2069,3.0
2070,3.0
2071,18.0
2072,1.0
2073,10.0
2074,14.0
2075,15.0
2076,0.0
2077,10.0
2078,1.0
2079,9.0
2080,13.0
2081,21.0
2082,1.0
2083,12.0
2084,17.0
2085,17.0
2086,11.0
2087,13.0
2088,13.0
2089,9.0
2090,7.0
2091,2.0
2092,12.0
2093,8.0
2094,26.0
2095,13.0
2096,12.0
2097,11.0
2098,2.0
2099,19.0
2100,9.0
2101,25.0
2102,6.0
2103,10.0
2104,3.0
2105,18.0
2106,18.0
2107,0.0
2108,30.0
2109,3.0
2110,0.0
2111,9.0
2112,5.0
2113,11.0
2114,1.0
2115,3.0
2116,4.0
2117,24.0
2118,13.0
2119,6.0
2120,19.0
2121,26.0
2122,6.0
2123,34.0
2124,30.0
2125,9.0
2126,1.0
2127,0.0
2128,4.0
2129,3.0
2130,1.0
2131,22.0
2132,19.0
2133,5.0
2134,41.0
2135,9.0
2136,12.0
