,Adora1
1685,11.0
1686,4.0
1687,3.0
1688,0.0
1689,5.0
1690,3.0
1691,2.0
1692,0.0
1693,0.0
1694,2.0
1695,3.0
1696,7.0
1697,3.0
1698,3.0
1699,10.0
1700,3.0
1701,0.0
1702,2.0
1703,2.0
1704,3.0
1705,0.0
1706,11.0
1707,11.0
1708,8.0
1709,0.0
1710,1.0
1711,5.0
1712,0.0
1713,2.0
1714,0.0
1715,7.0
1716,10.0
1717,0.0
1718,5.0
1719,3.0
1720,2.0
1721,2.0
1722,7.0
1723,1.0
1724,3.0
1725,11.0
1726,6.0
1727,3.0
1728,9.0
1729,0.0
1730,7.0
1731,1.0
1732,9.0
1733,0.0
1734,20.0
1735,0.0
1736,15.0
1737,6.0
1738,3.0
1739,6.0
1740,1.0
1741,1.0
1742,0.0
1743,10.0
1744,7.0
1745,14.0
1746,3.0
1747,0.0
1748,1.0
1749,24.0
1750,7.0
1751,2.0
1752,21.0
1753,4.0
1754,0.0
1755,4.0
1756,1.0
1757,2.0
1758,8.0
1759,3.0
1760,1.0
1761,4.0
1762,8.0
1763,9.0
1764,1.0
1765,1.0
1766,3.0
1767,2.0
1768,4.0
1769,3.0
1770,0.0
1771,4.0
1772,10.0
1773,2.0
1774,2.0
1775,6.0
1776,1.0
1777,5.0
1778,4.0
1779,4.0
1780,0.0
1781,6.0
1782,0.0
1783,3.0
1784,3.0
1785,6.0
1786,7.0
1787,17.0
1788,2.0
1789,9.0
1790,5.0
1791,1.0
1792,4.0
1793,1.0
1794,4.0
1795,0.0
1796,5.0
1797,0.0
1798,4.0
1799,9.0
1800,6.0
1801,5.0
1802,0.0
1803,4.0
1804,0.0
1805,10.0
1806,18.0
1807,13.0
1808,5.0
1809,2.0
1810,2.0
1811,3.0
1812,1.0
1813,4.0
1814,9.0
1815,1.0
1816,1.0
1817,0.0
1818,5.0
1819,0.0
1820,9.0
1821,0.0
1822,10.0
1823,1.0
1824,0.0
1825,6.0
1826,0.0
1827,3.0
1828,2.0
1829,13.0
1830,0.0
1831,0.0
1832,1.0
1833,14.0
1834,1.0
1835,14.0
1836,0.0
1837,2.0
1838,1.0
1839,7.0
1840,0.0
1841,3.0
1842,2.0
1843,0.0
1844,2.0
1845,0.0
1846,2.0
1847,0.0
1848,0.0
1849,1.0
1850,4.0
1851,5.0
1852,8.0
1853,0.0
1854,0.0
1855,5.0
1856,1.0
1857,0.0
1858,3.0
1859,4.0
1860,1.0
1861,1.0
1862,2.0
1863,5.0
1864,1.0
1865,6.0
1866,8.0
1867,6.0
1868,1.0
1869,1.0
1870,3.0
1871,11.0
1872,0.0
1873,7.0
1874,1.0
1875,3.0
1876,13.0
1877,6.0
1878,0.0
1879,10.0
1880,2.0
1881,4.0
1882,9.0
1883,8.0
1884,10.0
1885,6.0
1886,9.0
1887,5.0
1888,7.0
1889,1.0
1890,0.0
1891,10.0
1892,8.0
1893,4.0
1894,1.0
1895,12.0
1896,12.0
1897,1.0
1898,1.0
1899,3.0
1900,4.0
1901,1.0
1902,2.0
1903,0.0
1904,3.0
1905,5.0
1906,7.0
1907,4.0
1908,2.0
1909,4.0
1910,8.0
1911,11.0
1912,0.0
1913,8.0
1914,3.0
1915,8.0
1916,1.0
1917,6.0
1918,0.0
1919,6.0
1920,0.0
1921,9.0
1922,5.0
1923,6.0
1924,0.0
1925,8.0
1926,9.0
1927,1.0
1928,4.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,2.0
1934,0.0
1935,0.0
1936,1.0
1937,8.0
1938,5.0
1939,2.0
1940,4.0
1941,2.0
1942,6.0
1943,0.0
1944,0.0
1945,5.0
1946,1.0
1947,3.0
1948,1.0
1949,0.0
1950,1.0
1951,10.0
1952,0.0
1953,15.0
1954,0.0
1955,3.0
1956,5.0
1957,3.0
1958,2.0
1959,0.0
1960,3.0
1961,0.0
1962,1.0
1963,7.0
1964,10.0
1965,6.0
1966,4.0
1967,0.0
1968,0.0
1969,0.0
1970,1.0
1971,0.0
1972,0.0
1973,1.0
1974,8.0
1975,3.0
1976,1.0
1977,4.0
1978,6.0
1979,7.0
1980,0.0
1981,1.0
1982,1.0
1983,0.0
1984,3.0
1985,2.0
1986,2.0
1987,0.0
1988,3.0
1989,3.0
1990,0.0
1991,2.0
1992,1.0
1993,1.0
1994,2.0
1995,5.0
1996,0.0
1997,3.0
1998,0.0
1999,0.0
2000,9.0
2001,6.0
2002,13.0
2003,12.0
2004,10.0
2005,1.0
2006,10.0
2007,8.0
2008,0.0
2009,0.0
2010,0.0
2011,9.0
2012,0.0
2013,6.0
2014,7.0
2015,0.0
2016,15.0
2017,6.0
2018,9.0
2019,1.0
2020,2.0
2021,6.0
2022,8.0
2023,9.0
2024,4.0
2025,0.0
