,Celsr2
1608,12.0
1609,12.0
1610,9.0
1611,7.0
1612,3.0
1613,0.0
1614,3.0
1615,12.0
1616,2.0
1617,0.0
1618,17.0
1619,0.0
1620,1.0
1621,0.0
1622,14.0
1623,0.0
1624,2.0
1625,2.0
1626,0.0
1627,6.0
1628,2.0
1629,1.0
1630,4.0
1631,3.0
1632,7.0
1633,0.0
1634,9.0
1635,6.0
1636,1.0
1637,12.0
1638,6.0
1639,11.0
1640,4.0
1641,9.0
1642,11.0
1643,13.0
1644,13.0
1645,6.0
1646,1.0
1647,10.0
1648,0.0
1649,2.0
1650,13.0
1651,12.0
1652,18.0
1653,1.0
1654,6.0
1655,2.0
1656,0.0
1657,4.0
1658,3.0
1659,12.0
1660,4.0
1661,1.0
1662,13.0
1663,0.0
1664,9.0
1665,5.0
1666,6.0
1667,3.0
1668,1.0
1669,4.0
1670,18.0
1671,9.0
1672,2.0
1673,5.0
1674,0.0
1675,0.0
1676,7.0
1677,5.0
1678,0.0
1679,5.0
1680,10.0
1681,9.0
1682,0.0
1683,0.0
1684,3.0
1685,5.0
1686,0.0
1687,9.0
1688,3.0
1689,12.0
1690,5.0
1691,4.0
1692,0.0
1693,1.0
1694,4.0
1695,3.0
1696,7.0
1697,5.0
1698,5.0
1699,5.0
1700,4.0
1701,1.0
1702,9.0
1703,2.0
1704,10.0
1705,0.0
1706,1.0
1707,6.0
1708,4.0
1709,0.0
1710,1.0
1711,1.0
1712,1.0
1713,2.0
1714,2.0
1715,5.0
1716,14.0
1717,1.0
1718,2.0
1719,4.0
1720,1.0
1721,3.0
1722,6.0
1723,0.0
1724,4.0
1725,10.0
1726,3.0
1727,10.0
1728,5.0
1729,5.0
1730,11.0
1731,0.0
1732,5.0
1733,1.0
1734,12.0
1735,0.0
1736,22.0
1737,5.0
1738,3.0
1739,12.0
1740,5.0
1741,2.0
1742,0.0
1743,4.0
1744,15.0
1745,6.0
1746,1.0
1747,0.0
1748,0.0
1749,20.0
1750,1.0
1751,1.0
1752,9.0
1753,9.0
1754,7.0
1755,6.0
1756,3.0
1757,5.0
1758,4.0
1759,5.0
1760,0.0
1761,3.0
1762,8.0
1763,12.0
1764,0.0
1765,11.0
1766,3.0
1767,1.0
1768,3.0
1769,5.0
1770,2.0
1771,1.0
1772,9.0
1773,1.0
1774,4.0
1775,8.0
1776,4.0
1777,4.0
1778,2.0
1779,4.0
1780,0.0
1781,4.0
1782,3.0
1783,10.0
1784,8.0
1785,11.0
1786,19.0
1787,8.0
1788,2.0
1789,5.0
1790,9.0
1791,4.0
1792,10.0
1793,3.0
1794,2.0
1795,0.0
1796,2.0
1797,1.0
1798,1.0
1799,8.0
1800,12.0
1801,4.0
1802,1.0
1803,5.0
1804,4.0
1805,11.0
1806,12.0
1807,16.0
1808,6.0
1809,3.0
1810,3.0
1811,0.0
1812,0.0
1813,2.0
1814,8.0
1815,0.0
1816,0.0
1817,0.0
1818,5.0
1819,1.0
1820,10.0
1821,0.0
1822,11.0
1823,2.0
1824,5.0
1825,10.0
1826,3.0
1827,1.0
1828,16.0
1829,13.0
1830,3.0
1831,1.0
1832,1.0
1833,9.0
1834,0.0
1835,16.0
1836,0.0
1837,0.0
1838,0.0
1839,14.0
1840,0.0
1841,4.0
1842,1.0
1843,1.0
1844,7.0
1845,1.0
1846,4.0
1847,5.0
1848,0.0
1849,1.0
1850,9.0
1851,10.0
1852,6.0
