,Syt4
2080,15.0
2081,30.0
2082,1.0
2083,31.0
2084,17.0
2085,19.0
2086,13.0
2087,19.0
2088,19.0
2089,1.0
2090,1.0
2091,0.0
2092,16.0
2093,5.0
2094,9.0
2095,16.0
2096,4.0
2097,9.0
2098,3.0
2099,23.0
2100,6.0
2101,18.0
2102,2.0
2103,0.0
2104,3.0
2105,29.0
2106,13.0
2107,0.0
2108,1.0
2109,5.0
2110,1.0
2111,1.0
2112,4.0
2113,1.0
2114,1.0
2115,5.0
2116,10.0
2117,26.0
2118,10.0
2119,10.0
2120,29.0
2121,14.0
2122,18.0
2123,0.0
2124,28.0
2125,27.0
2126,2.0
2127,0.0
2128,6.0
2129,1.0
2130,1.0
2131,38.0
2132,13.0
2133,5.0
2134,9.0
2135,21.0
2136,9.0
2137,7.0
