,Gabbr2
1166,4.0
1167,30.0
1168,16.0
1169,13.0
1170,9.0
1171,10.0
1172,13.0
1173,0.0
1174,1.0
1175,9.0
1176,10.0
1177,7.0
1178,4.0
1179,1.0
1180,15.0
1181,13.0
1182,0.0
1183,15.0
1184,1.0
1185,28.0
1186,17.0
1187,4.0
1188,9.0
1189,18.0
1190,14.0
1191,2.0
1192,6.0
1193,6.0
1194,9.0
1195,24.0
1196,11.0
1197,21.0
1198,20.0
1199,1.0
1200,31.0
1201,1.0
1202,4.0
1203,40.0
1204,16.0
1205,21.0
1206,0.0
1207,3.0
1208,5.0
1209,6.0
1210,0.0
1211,8.0
1212,1.0
1213,27.0
1214,2.0
1215,17.0
1216,13.0
1217,3.0
1218,0.0
1219,19.0
1220,5.0
1221,1.0
1222,17.0
1223,15.0
1224,4.0
1225,6.0
1226,9.0
1227,17.0
1228,10.0
1229,0.0
1230,14.0
1231,27.0
1232,2.0
1233,2.0
1234,29.0
1235,19.0
1236,0.0
1237,12.0
1238,19.0
1239,8.0
1240,13.0
1241,0.0
1242,30.0
1243,1.0
1244,2.0
1245,9.0
1246,22.0
1247,3.0
1248,14.0
1249,3.0
1250,21.0
1251,0.0
1252,10.0
1253,1.0
1254,0.0
1255,10.0
1256,10.0
1257,0.0
1258,1.0
1259,26.0
1260,10.0
1261,4.0
1262,15.0
1263,11.0
1264,2.0
1265,17.0
1266,3.0
1267,23.0
1268,1.0
1269,20.0
1270,5.0
1271,31.0
1272,14.0
1273,16.0
1274,18.0
1275,0.0
1276,8.0
1277,15.0
1278,23.0
1279,19.0
1280,10.0
1281,31.0
1282,1.0
1283,2.0
1284,16.0
1285,6.0
1286,10.0
1287,7.0
1288,9.0
1289,1.0
1290,0.0
1291,11.0
1292,6.0
1293,6.0
1294,5.0
1295,1.0
1296,1.0
1297,22.0
1298,4.0
1299,7.0
1300,24.0
1301,21.0
1302,7.0
1303,10.0
1304,7.0
1305,3.0
1306,8.0
1307,3.0
1308,30.0
1309,28.0
1310,11.0
1311,27.0
1312,5.0
1313,10.0
1314,14.0
1315,2.0
1316,7.0
1317,4.0
1318,8.0
1319,4.0
1320,20.0
1321,28.0
1322,3.0
1323,20.0
1324,1.0
1325,12.0
1326,8.0
1327,8.0
1328,32.0
1329,26.0
1330,19.0
1331,5.0
1332,33.0
1333,14.0
1334,3.0
1335,23.0
1336,5.0
1337,30.0
1338,1.0
1339,8.0
1340,11.0
1341,2.0
1342,14.0
1343,1.0
1344,9.0
1345,24.0
1346,12.0
1347,5.0
1348,1.0
1349,9.0
1350,21.0
1351,0.0
1352,10.0
1353,19.0
1354,27.0
1355,3.0
1356,3.0
1357,0.0
1358,5.0
1359,5.0
1360,17.0
1361,14.0
1362,14.0
1363,2.0
1364,3.0
1365,19.0
1366,7.0
1367,14.0
1368,19.0
1369,17.0
1370,12.0
1371,29.0
1372,3.0
1373,22.0
1374,19.0
1375,8.0
1376,11.0
1377,21.0
1378,6.0
1379,0.0
1380,17.0
1381,1.0
1382,14.0
1383,4.0
1384,14.0
1385,1.0
1386,6.0
1387,3.0
1388,4.0
1389,2.0
1390,2.0
1391,18.0
1392,15.0
1393,2.0
1394,8.0
1395,6.0
1396,7.0
1397,8.0
1398,14.0
1399,2.0
1400,0.0
1401,5.0
1402,10.0
1403,2.0
1404,5.0
1405,13.0
1406,4.0
1407,9.0
1408,5.0
1409,2.0
1410,12.0
1411,29.0
1412,0.0
1413,17.0
1414,8.0
1415,2.0
1416,13.0
1417,12.0
1418,2.0
1419,2.0
1420,21.0
1421,25.0
1422,10.0
1423,10.0
1424,23.0
1425,30.0
1426,8.0
1427,16.0
1428,0.0
1429,12.0
1430,9.0
1431,17.0
1432,0.0
1433,15.0
1434,0.0
1435,29.0
1436,8.0
1437,0.0
1438,13.0
1439,1.0
1440,6.0
1441,8.0
1442,21.0
1443,7.0
1444,9.0
1445,13.0
1446,10.0
1447,0.0
1448,3.0
1449,20.0
1450,9.0
1451,9.0
1452,19.0
1453,0.0
1454,10.0
1455,3.0
1456,2.0
1457,3.0
1458,0.0
1459,21.0
1460,12.0
1461,17.0
1462,6.0
1463,5.0
1464,12.0
1465,10.0
1466,21.0
1467,5.0
1468,0.0
1469,35.0
1470,11.0
1471,20.0
1472,7.0
1473,16.0
1474,1.0
1475,16.0
1476,24.0
1477,17.0
1478,4.0
1479,6.0
1480,11.0
1481,1.0
1482,47.0
1483,20.0
1484,1.0
1485,21.0
1486,12.0
1487,32.0
1488,5.0
1489,0.0
1490,15.0
1491,15.0
1492,2.0
1493,12.0
1494,10.0
1495,8.0
1496,5.0
1497,29.0
1498,0.0
1499,15.0
1500,9.0
1501,2.0
1502,5.0
1503,1.0
1504,5.0
1505,2.0
1506,20.0
1507,4.0
1508,14.0
1509,0.0
1510,4.0
1511,8.0
1512,1.0
1513,14.0
1514,1.0
1515,2.0
1516,20.0
1517,0.0
1518,6.0
1519,10.0
1520,2.0
1521,0.0
1522,7.0
1523,5.0
1524,29.0
1525,11.0
1526,17.0
1527,1.0
1528,4.0
1529,1.0
1530,0.0
1531,15.0
1532,15.0
1533,6.0
1534,0.0
1535,8.0
1536,0.0
1537,1.0
1538,0.0
1539,16.0
1540,12.0
1541,0.0
1542,5.0
1543,4.0
1544,12.0
1545,17.0
1546,5.0
1547,13.0
1548,8.0
1549,4.0
1550,12.0
1551,1.0
1552,26.0
1553,0.0
1554,25.0
1555,3.0
1556,13.0
1557,0.0
1558,2.0
1559,2.0
1560,9.0
1561,6.0
1562,7.0
1563,10.0
1564,14.0
1565,23.0
1566,22.0
1567,5.0
1568,3.0
1569,10.0
1570,18.0
1571,0.0
1572,13.0
1573,16.0
1574,13.0
1575,12.0
1576,12.0
1577,25.0
1578,33.0
1579,1.0
1580,5.0
1581,10.0
1582,4.0
1583,18.0
1584,28.0
1585,0.0
1586,2.0
1587,1.0
1588,30.0
1589,6.0
1590,11.0
1591,2.0
1592,4.0
1593,8.0
1594,16.0
1595,26.0
1596,6.0
1597,5.0
1598,15.0
1599,16.0
1600,35.0
1601,2.0
1602,5.0
1603,14.0
1604,5.0
1605,0.0
1606,9.0
1607,7.0
1608,27.0
1609,15.0
1610,22.0
1611,11.0
1612,18.0
1613,1.0
1614,7.0
1615,20.0
1616,2.0
1617,1.0
1618,25.0
1619,1.0
1620,0.0
1621,7.0
1622,15.0
1623,1.0
1624,10.0
1625,2.0
1626,0.0
1627,24.0
1628,1.0
1629,1.0
1630,12.0
1631,8.0
1632,24.0
1633,0.0
1634,10.0
1635,16.0
1636,1.0
1637,13.0
1638,6.0
1639,23.0
1640,28.0
1641,24.0
1642,14.0
1643,24.0
1644,12.0
1645,8.0
1646,5.0
1647,7.0
1648,0.0
1649,5.0
1650,26.0
1651,8.0
1652,21.0
1653,14.0
1654,11.0
1655,3.0
1656,2.0
1657,7.0
1658,18.0
1659,14.0
1660,12.0
1661,6.0
1662,29.0
1663,2.0
1664,9.0
1665,5.0
1666,10.0
1667,4.0
1668,1.0
1669,21.0
1670,29.0
1671,24.0
1672,4.0
1673,14.0
1674,0.0
1675,0.0
1676,16.0
1677,8.0
1678,1.0
1679,14.0
1680,18.0
1681,6.0
1682,1.0
1683,0.0
1684,1.0
1685,14.0
1686,7.0
1687,23.0
1688,3.0
1689,20.0
1690,6.0
1691,3.0
1692,1.0
1693,4.0
1694,3.0
1695,9.0
1696,18.0
1697,13.0
1698,18.0
1699,8.0
1700,4.0
1701,3.0
1702,32.0
1703,1.0
1704,3.0
1705,0.0
1706,10.0
1707,12.0
1708,7.0
1709,0.0
1710,1.0
1711,1.0
1712,7.0
1713,7.0
1714,0.0
1715,4.0
1716,10.0
1717,3.0
1718,6.0
1719,9.0
1720,10.0
1721,6.0
1722,15.0
1723,4.0
1724,13.0
1725,18.0
1726,8.0
1727,22.0
1728,13.0
1729,9.0
1730,27.0
1731,1.0
1732,16.0
1733,4.0
1734,19.0
1735,0.0
1736,22.0
1737,5.0
1738,10.0
1739,16.0
1740,3.0
1741,3.0
1742,4.0
1743,10.0
1744,25.0
1745,17.0
1746,1.0
1747,0.0
1748,0.0
1749,25.0
1750,4.0
1751,0.0
1752,10.0
1753,30.0
1754,31.0
1755,13.0
1756,4.0
1757,7.0
1758,18.0
1759,8.0
1760,4.0
1761,6.0
1762,12.0
1763,21.0
1764,1.0
1765,16.0
1766,5.0
1767,1.0
1768,11.0
