,mean,std
Blank-127,0.0,0.05
Blank-128,0.0,0.03
Blank-129,0.0,0.03
Blank-130,0.0,0.02
Blank-131,0.0,0.03
Blank-132,0.0,0.03
Blank-133,0.01,0.1
Blank-134,0.01,0.06
Blank-135,0.0,0.02
Blank-136,0.0,0.02
Blank-137,0.0,0.02
Blank-138,0.0,0.02
Blank-139,0.01,0.06
Blank-140,0.0,0.03
Blank-141,0.0,0.03
Blank-142,0.03,0.15
Blank-143,0.0,0.03
Blank-144,0.0,0.03
Blank-145,0.01,0.06
Blank-146,0.0,0.03
Blank-147,0.0,0.05
Blank-148,0.0,0.06
Blank-149,0.0,0.04
Blank-150,0.03,0.14
Blank-151,0.0,0.04
Blank-152,0.01,0.07
Blank-153,0.0,0.03
Blank-154,0.01,0.06
Blank-155,0.04,0.15
Blank-156,0.0,0.05
Blank-157,0.0,0.04
Blank-158,0.0,0.04
Blank-159,0.0,0.05
Blank-160,0.0,0.04
Blank-161,0.01,0.06
Blank-162,0.0,0.02
Blank-163,0.01,0.1
Blank-164,0.0,0.03
Blank-165,0.0,0.01
